2,3,7,9,11,12,16,26,28,32,33,34,44,45,46,48,52,57,63,66
3,6,13,14,19,22,23,30,31,35,38,41,44,52,59,63,70,73,75,78
3,5,11,15,18,19,27,30,32,33,36,37,39,42,51,54,66,68,71,79
4,5,10,17,18,22,27,28,37,42,43,45,46,48,49,51,54,55,66,78
2,10,11,12,15,19,20,27,32,36,45,47,53,62,66,67,69,73,78,79
7,12,15,18,19,20,29,31,42,46,52,54,59,63,65,67,70,71,77,80
4,5,8,14,15,20,23,29,41,42,50,51,53,60,67,68,70,71,76,79
1,4,8,11,15,21,23,34,38,39,41,47,51,60,68,71,73,76,77,79
1,2,5,6,7,9,18,19,24,26,27,34,40,41,53,54,56,63,65,74
2,6,11,15,17,24,25,28,29,30,34,42,43,48,50,53,62,64,70,72
4,7,11,14,15,19,24,25,33,34,39,41,47,52,61,64,68,72,73,78
2,10,13,15,16,24,28,29,32,34,35,39,46,49,54,57,65,70,74,77
2,4,8,12,14,16,23,28,36,37,38,41,43,46,49,51,55,56,57,70
3,10,13,16,24,30,31,37,41,44,46,47,50,52,56,60,61,68,72,80
1,4,7,13,14,16,21,23,25,33,37,39,40,51,56,61,68,70,71,74
4,12,14,16,17,21,22,23,27,30,38,41,44,47,48,57,60,62,64,69
1,4,12,15,18,41,45,47,48,52,53,58,59,62,64,65,66,73,74,79
10,12,13,19,23,24,28,30,35,39,40,43,45,46,50,59,62,67,71,79
1,2,6,7,8,10,27,33,34,40,42,45,46,51,56,58,60,62,70,76
2,4,13,15,27,29,31,37,42,43,47,50,51,54,56,60,61,62,75,77
1,3,7,8,12,27,30,32,33,39,42,48,49,52,57,62,65,70,73,79
7,8,9,21,34,35,39,40,42,44,51,55,58,63,67,68,71,72,75,79
9,12,16,18,33,36,40,41,46,48,51,53,54,55,59,61,62,63,68,75
6,10,11,13,14,28,30,36,39,43,44,47,48,59,67,69,71,73,75,79
7,11,13,14,16,17,20,23,27,30,31,33,34,37,43,53,55,62,66,69
3,8,11,12,13,14,16,22,23,27,33,37,46,48,51,52,53,63,75,80
3,9,14,15,17,19,23,27,28,30,33,35,36,54,57,58,63,65,69,72
5,7,10,14,16,17,19,25,32,34,35,38,40,43,51,53,54,57,73,77
5,7,10,11,14,16,21,22,25,35,40,46,49,52,54,64,66,68,69,70
4,5,8,9,13,19,20,21,24,28,40,48,50,57,63,65,66,69,70,75
2,3,13,16,25,28,35,37,41,45,46,48,49,50,52,61,62,65,70,76
2,5,9,14,16,22,24,26,32,35,36,37,40,41,44,49,65,70,71,74
1,10,11,24,26,27,32,38,49,59,60,63,66,68,69,71,72,73,76,77
2,4,6,10,16,17,19,24,27,30,34,38,40,44,48,49,56,60,63,66
5,13,15,16,19,22,27,28,36,41,43,48,50,56,60,65,67,72,77,80
